Input-Sample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	Pearson-Correlation	RMSE
SRR1105320	0.006502962218462775	0.09230343412589087	0.013340688169816376	0.5989899373304552	0.0625465751628236	0	0.22631640299255112	0	0.5577585808232723	0.994859695770052
SRR1485380	0.004383494165656924	0.07740432503534458	0.031099453590429812	0.36779260753318194	0.36641533748643706	0	0.15290478218894973	0	0.5202740123369509	0.9961477233055183
SRR1071313	0.012625839422419651	0.08595815701318128	0.015125382953125037	0.6968593798225349	0.14758010002429658	0	0.04185114076444257	0	0.7029344327192497	0.9944755485774821
SRR1340010	0.2526685484053197	0.07710355759607636	0.013099120611228806	0.4660050903006817	0.09670916878952261	0	0.09441451429717072	0	0.4493964265282573	0.9973197881297453
SRR1414079	0.019130153703329912	0.046076864484800056	0.011616915784989678	0.24725995352279495	0.05688197613534361	0	0.6190341363687418	0	0.5256412811107849	0.9911179449225554
SRR1472749	0.027948308609965875	0.1160856709590412	0.022042107778935654	0.5993481048500621	0.18107238491559674	0	0.053503422886398484	0	0.5560193940524522	0.9961012965628347
SRR1467792	0.029776611706968627	0.10448414152547193	0.026900166884120683	0.5641361251718996	0.22678550952188933	0	0.04791744518964977	0	0.6612080492370864	0.9954487750320765
SRR1417588	0.028359382524387775	0.05344161577618345	0.013054877129431852	0.2506109153387738	0.08669485950735893	0	0.5678383497238642	0	0.865804418905337	0.9862894268172101
SRR812036	0.047483362743943075	0.10691585771423771	0.02336012179133263	0.6139906424979732	0.17507576662717925	0	0.033174248625334156	0	0.655983537565839	0.995373569816544
SRR1360420	0.11340855485530106	0.0975323562544517	0.01709468675173029	0.4888797073807451	0.15427662300665967	0	0.12880807175111214	0	0.3594317533954878	0.9976281180059176
SRR1487993	0.00920236995375156	0.1511085154374582	0.028478215555940694	0.6314126073149571	0.13523100215390324	0	0.044567289583989214	0	0.4042717118870155	0.9971715861379471
SRR1421444	0.23269640797525906	0.06149445848407657	0.012621969681223574	0.30339644708406116	0.11280398356511266	0	0.27698673321026696	0.06	0.10777409674373657	0.9992456082115375
SRR661278	0.13278103202566555	0.10060731564724855	0.015403032102710285	0.550033648980411	0.14935429453713084	0	0.051820676706833865	0	0.5016652736585958	0.9967896336819974
SRR1098312	0.09660945758215578	0.11147971336872642	0.020368366932510207	0.6558125789153709	0.0940279808734309	0	0.02170190232780578	0	0.4948601207980599	0.996475232251446
SRR1476736	0.007385724396993121	0.1095235143686398	0.028141626136373814	0.5288601542760959	0.29751987125351326	0	0.028569109568384096	0	0.6160523727400877	0.9957890953994455
SRR808172	0.036168522158120366	0.10428311259082984	0.011599087825795171	0.7008661506552422	0.09026861263257353	0	0.056814514137438925	0	0.73700729653202	0.9941600615880057
SRR1349099	0.04860985243273536	0.09009977535844962	0.015620788195529436	0.7554957321114292	0.06920110006437755	0.0001	0.020895077004730818	0	0.6146067668441704	0.9949625665906038
SRR1350609	0.08742490365111258	0.08737702657725263	0.018448698317333707	0.6478489495081853	0.15890042194611576	0	0	0	0.6768208298507001	0.9951193973800921
SRR1446050	0.04998310912324383	0.10877884850468796	0.015151371604020426	0.7192401462399969	0.10058357729672056	0	0.006250600373926769	0	0.5778727106064853	0.9955058668109374
