Input Sample,CardiacMuscleCell,EndothelialCell,Lymphocytes,Fibroblast,Macrophage,Erythrocyte,FatCell,SmoothMuscleCell,P-value,Pearson Correlation,RMSE
SRR1456274,0,0.0037168862563572236,0.0027441953550257896,0.472697229410598,0.0010479298514207034,0.10354501428628632,0,0.4162487448403119,0.2828282828282828,0.46323784245396504,0.8849719982467594
SRR1395857,0,0,0,0.406548534465324,0,0,0.11652078466153297,0.476930680873143,0.18181818181818182,0.536695779440156,0.9180632850173882
SRR1420006,0,0.07282254063300779,0.0025081177798896674,0.42561240324888555,0.0005,0,0.13321410428929994,0.3653536377919911,0,0.919427750698635,0.8675808401775927
SRR1421262,0,0,0.0174514889834521,0.3283660511617921,0.1446027013810693,0,0.2216313526976999,0.2879484057759865,0.12121212121212122,0.6641088807062521,0.9205469622492403
SRR1392835,0,0,0.011993509741045696,0.2601832319067603,0.09240743547063841,0,0.24036795460488408,0.3950478682766715,0.13131313131313133,0.6275625456011277,0.9225949949307689
SRR1471243,0,0,0,0.21837481454988816,0,0,0.3753872286877035,0.4062379567624083,0.1414141414141414,0.6017186430212272,0.9240719966089967
SRR1354553,0,0.006645675079598919,0.016970608825855545,0.4515899100391811,0.12452714358898415,0.020892278868807262,0.0003,0.3790243997300332,0.13131313131313133,0.6274160252205279,0.9060363594178766
SRR1339722,0.956382701328769,0,0.02418567477111989,0,0,0,0,0.019431623900111022,0.45454545454545453,0.30809289542131035,0.9419200632513711
SRR1413584,0,0,0.014604242484822045,0.3216130374462477,0.10961774454525264,0,0.2325880445116755,0.32157693101200213,0.18181818181818182,0.5630469846604937,0.9298911286064053
SRR1076916,0,0.00118832921835981,0.007265425191468597,0.39523033793362217,0.033267542845323975,0.022901750172763507,0.00744789278393694,0.532698721854525,0.13131313131313133,0.6366095123386893,0.8976550518367665
SRR1096736,0,0,0,0.34359410928835554,0,0.0003,0.006424861583518985,0.6496319121991315,0.21212121212121213,0.5158107648250385,0.9170994056393216
