InputSample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	PearsonCorrelation	RMSE
GTEX-X5EB-0326-SM-4QASF.1	0.023626227280705507	0.1610360897705462	0.0006	0.7455226333784493	0.034837273615769035	0	0.03442364948649461	0	0.7996654171753048	0.9864548812698003
GTEX-ZUA1-0426-SM-5NQAF.1	0.050024628657778104	0.1282393562959251	0	0.7745001299777411	0.007751878199358467	0	0.03948400686919727	0	0.43206139040750585	0.9922804930074527
GTEX-QESD-0326-SM-47J4F.1	0.04158917412870583	0.13032223973313029	0	0.6435206744474825	0.0045266172877031045	0	0.18004129440297822	0	0.7657873006740441	0.9867093788980444
GTEX-ZPCL-0326-SM-5FQSG.1	0.030111095117663956	0.12985426404880349	0	0.5951493349152991	0.00713980753355742	0	0.23774549838467599	0	0.6313184073907995	0.9886383692168392
GTEX-ZYT6-0826-SM-5E43I.1	0.06322531761183815	0.11456625319866115	0	0.6035109262913467	0	0	0.21869750289815407	0	0.46015375333963926	0.9917964784750675
GTEX-13VXU-1926-SM-5LU5J.1	0.06228564783813213	0.155053927462237	0	0.7794960309862672	0.0027172188546690386	0	0.0004	0	0.81398720266396	0.9858291060021961
GTEX-11DXZ-0526-SM-5GU7J.1	0.04466639962127043	0.1446058231512942	0	0.7296784568184295	0.012598528687441645	0	0.06845079172156433	0	0.8236747380481948	0.9859889315864191
GTEX-11ZTT-0426-SM-5EQLK.1	0.028070012255098312	0.08529714165091443	0	0.4019224672659771	0.003692721593163755	0	0.4810176572348465	0	0.5247203185321007	0.9877698778157519
GTEX-12WSL-0926-SM-5N9EK.1	0.04774745255376597	0.13631237925239809	0	0.5464064419742171	0	0	0.26953372621961896	0	0.5406182297881471	0.9901659404540091
GTEX-13NZA-1126-SM-5MR4K.1	0.042724354675879116	0.12299732131631615	0	0.6890790119720933	0.011591708569426599	0	0.13360760346628486	0	0.6517161978859917	0.988728228313203
GTEX-13N11-0626-SM-5J1OL.1	0.1012873630918427	0.13453885488091855	0	0.7402324746251708	0	0	0.023941307402067912	0	0.5464093871799859	0.9907306603004792
GTEX-13FH7-0426-SM-5KM4M.1	0.051191632165913936	0.151459986545427	0	0.7193621779038286	0.009299467625434097	0	0.06868673575939636	0	0.7411966822167673	0.987504359066103
GTEX-UPK5-0126-SM-3GADM.1	0.08517390957852435	0.16270736537569788	0	0.717925162281953	0	0	0.03419356276382477	0	0.5593655925429251	0.9907036175224917
GTEX-11EM3-0526-SM-5H12N.1	0.06668410066621099	0.1553781551394871	0	0.7380695905431995	0	0	0.03986815365110251	0	0.7306868284086467	0.9876253846829686
