InputSample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	PearsonCorrelation	RMSE
GTEX-WHSE-0726-SM-4RTXA.1	0.09348580646845546	0.08366372033848318	0	0.3878764532678402	0	0	0.43497401992522106	0	0.5809604719803264	0.9937108716039795
GTEX-13U4I-0926-SM-5LU5A.1	0.12345530541413864	0.12077703225131445	0	0.5288001050197515	0.0007	0	0.22624901881574894	0	0.6419929456742749	0.9943183661213805
GTEX-ZYWO-0426-SM-5SI9A.1	0.07324738627359106	0.09041078212529005	0	0.3946379112380209	0.0014483565658625517	0	0.4402555637972354	0	0.5641747805328504	0.9938174597161045
GTEX-ZPU1-0526-SM-4YCDA.1	0.07320309317376146	0.1278528725988975	0	0.577423435554905	0.025619289821722617	0	0.19590130885071338	0	0.7660340768695838	0.9932773849778995
GTEX-13FXS-1126-SM-5IJBB.1	0.14702814140704967	0.13230265800434382	0	0.6900615602794654	0	0	0.030607640309141013	0	0.6599776118814867	0.9941503026617293
GTEX-13S7M-2226-SM-5S2WB.1	0.1052329246230266	0.145282220314357	0	0.7027464732422501	0	0	0.04673838182036635	0	0.7534459177124841	0.9932629773475113
GTEX-13RTJ-0626-SM-5S2NB.1	0.12929879569150057	0.14399745619220244	0	0.6624432883495663	0.00718776634946812	0.0007	0.05639568700450399	0.03	0.2735072620128816	0.9973122215614205
GTEX-11GS4-0626-SM-5A5LC.1	0.08585833800049397	0.14373361509897428	0	0.6617526773223003	0.015543164702867464	0	0.09311220487536401	0	0.7836417086176486	0.9931620124089515
GTEX-132AR-1326-SM-5K7YC.1	0.07629824734597548	0.09272057037680162	0	0.40520958311498345	0.0009	0	0.42483377318704496	0	0.5280325008839487	0.9942828835520712
GTEX-ZF3C-1326-SM-5A5MF.1	0.0841136053157444	0.13003446136884522	0	0.6397543453682752	0.01057853540783554	0	0.13551905253929955	0	0.6396190990520904	0.9942857162248001
GTEX-X5EB-0326-SM-4QASF.1	0.07312110416634095	0.15743511233335072	0	0.6611701871481387	0.021490064110944923	0	0.08678353224122476	0	0.7935847745777465	0.9931285017770756
GTEX-ZUA1-0426-SM-5NQAF.1	0.09554954294578931	0.13904797161256577	0	0.633630605845242	0	0	0.13177187959640294	0	0.3968573429029446	0.9963213560036616
GTEX-QESD-0326-SM-47J4F.1	0.08163745858196458	0.11861017234154536	0	0.5353161305638849	0	0	0.264436238512605	0	0.694934405149208	0.9935507175730043
GTEX-ZPCL-0326-SM-5FQSG.1	0.06412618132020953	0.11615430181069411	0	0.4998166100535645	0.0008	0	0.31909727245125113	0	0.5996634320105577	0.9941245985741886
GTEX-ZYT6-0826-SM-5E43I.1	0.10031218939159456	0.10650195335238295	0	0.4807569044700843	0	0	0.31242895278593824	0	0.40670831113069356	0.9959659186361861
GTEX-13VXU-1926-SM-5LU5J.1	0.12430400314237905	0.15398660935269184	0	0.7035651895132279	0	0	0.018144197991701215	0	0.8149985351017158	0.9928110825644072
GTEX-11DXZ-0526-SM-5GU7J.1	0.08568275061300988	0.12437699334679728	0	0.5637146414419204	0.010748220154521355	0	0.21547739444375102	0	0.7254922235965958	0.9935306921708498
GTEX-11ZTT-0426-SM-5EQLK.1	0.05974448139413112	0.08936105834124808	0	0.3828120348067142	0.001	0	0.46712636460485946	0	0.5462634474828182	0.9938042800723766
GTEX-12WSL-0926-SM-5N9EK.1	0.08746258892617864	0.1079662186971045	0	0.47407357479903606	0.0010088361500662463	0	0.3294887814276146	0	0.5028053833408598	0.995022017442341
GTEX-13NZA-1126-SM-5MR4K.1	0.07835179692383747	0.12983561753998873	0	0.5501084119664718	0.002718811136388631	0	0.23898536243331348	0	0.5800996379129468	0.9946565898180126
GTEX-13N11-0626-SM-5J1OL.1	0.13268348374333583	0.16438371515832614	0	0.638865704636148	0	0	0.06406709646219007	0	0.5219189091351908	0.9954797593304707
GTEX-13FH7-0426-SM-5KM4M.1	0.0874278592717939	0.12971337505271135	0	0.549025403309004	0.0029889828706004423	0	0.23084437949589034	0	0.6437791192200695	0.9941778029529226
GTEX-UPK5-0126-SM-3GADM.1	0.13399375923810272	0.13869887125203015	0	0.6059063067655904	0	0	0.12140106274427669	0	0.5266526610948311	0.9954192503748773
GTEX-11EM3-0526-SM-5H12N.1	0.11128646496459282	0.13717952882380174	0	0.599617456246799	0	0	0.15191654996480652	0	0.6880387825630458	0.9940274191729103
GTEX-ZLFU-0126-SM-5EQMN.1	0.07783322549950485	0.1152290173107239	0	0.5257715719119369	0.03312424555501683	0	0.2480419397228176	0	0.6943414356289499	0.9937741007974488
GTEX-13FHP-1126-SM-5IJDO.1	0.0890802272230503	0.1368513134200139	0	0.6540744933168936	0.004224324401049146	0	0.11576964163899302	0	0.7228595318101672	0.9935950347564537
GTEX-P4PP-3026-SM-3P61O.1	0.06431580509577546	0.08326541103004267	0	0.36556828266773433	0.006069884968926701	0	0.48078061623752083	0.04	0.20718013305492722	0.9973699983708515
GTEX-1399S-0926-SM-5PNVQ.1	0.05865197133469227	0.09703269852289821	0	0.4096140737264811	0.046898441586531066	0	0.3878028148293973	0	0.553995650173256	0.9943530568426417
GTEX-12WSD-1026-SM-5EQ42.1	0.13791331511824012	0.14790662720137215	0	0.6989963750212225	0	0	0.015183682659165261	0	0.7881251409357918	0.9930690626613696
GTEX-WY7C-1526-SM-4OND2.1	0.05662417790296132	0.08534706671218314	0	0.41380390525759353	0.0023952316292329954	0	0.441829618498029	0	0.4974187163064916	0.9944367435940948
GTEX-117YX-1726-SM-5GZZS.1	0.12045459721612162	0.10776712542751332	0	0.49220711042354587	0.010764621357586887	0	0.2688065455752323	0	0.46144612620319386	0.9957040999914869
GTEX-14E1K-0926-SM-5S2U4.1	0.042741312907118904	0.08286887286585998	0	0.3495774027182707	0	0	0.5248124115087505	0.04	0.19290860165652704	0.9974022340863735
GTEX-ZYFC-1226-SM-5GIE4.1	0.16502582333063176	0.08314018337156089	0	0.4820146693111456	0	0	0.26981932398666175	0.03	0.30916548369585745	0.9969892977249263
GTEX-YF7O-0226-SM-5IFJ4.1	0.04991459449636561	0.08945600489454929	0	0.3686147978334349	0.002009458904453727	0	0.49000514387119637	0	0.4752799044259931	0.9944186067917773
GTEX-QEG5-1026-SM-4R1KT.1	0.07290254885815939	0.09845734311064228	0	0.4280542737528118	0	0	0.4005858342783865	0	0.5004041058085007	0.994679412527923
GTEX-13W3W-0626-SM-5LU45.1	0.06015960407367845	0.07671190260757349	0	0.36313297812516065	0.006944687368730656	0	0.49305082782485676	0	0.6626620679135444	0.9923584297945368
GTEX-13O21-2926-SM-5J1OU.1	0.05818147314318621	0.08964918615083238	0	0.3814024894451991	0	0	0.4707668512607824	0	0.5426938644383713	0.9938142383532589
GTEX-147F4-1326-SM-5LU9V.1	0.10654961302266004	0.15372829886390985	0	0.7130179192337104	0	0	0.026704168879719596	0	0.6850476420507947	0.9938196186723066
GTEX-11UD2-1126-SM-5EQM6.1	0.11268929810265796	0.14545357649229998	0	0.6904695993854478	0	0	0.05138752601959417	0	0.6327232305742513	0.9943370757406116
GTEX-12ZZX-0626-SM-5EQ46.1	0.10161231795094948	0.11491151048997857	0	0.4896333336369723	0	0	0.29384283792209964	0.01	0.3687817726537789	0.9963700815306717
GTEX-13X6J-1326-SM-5QGOV.1	0.06825308244272692	0.10775886231757413	0	0.5088593722171311	0	0	0.3151286830225679	0.01	0.3831640790171374	0.9960886323544339
GTEX-13PVR-1126-SM-5S2NX.1	0.10689705367722753	0.15890058928199824	0	0.7230748640432816	0.0038727156791263603	0.0012368709323786987	0.006017906385987557	0	0.7970419136728236	0.9923493766866506
GTEX-WHPG-0726-SM-4M1XX.1	0.06586667133603422	0.09125696456178216	0	0.4109006100183484	0.0016626472176957143	0	0.43031310686613955	0	0.5972900747997467	0.9935172017712657
GTEX-Y114-0326-SM-4TT99.1	0.11397090575791596	0.14808876867733517	0	0.6354383310826159	0.0015475989095760315	0	0.10095439557255693	0	0.7752114849847268	0.9933598878006027
GTEX-13QJC-0626-SM-5S2O9.1	0.10012259341392608	0.14253458681624487	0	0.6401299866429248	0	0	0.11721283312690434	0	0.7114855875200448	0.9937672599566489
GTEX-ZF29-0126-SM-4WKGZ.1	0.10914969254774642	0.1629904189082548	0	0.7012070081501027	0.003263668010635835	0	0.02338921238326028	0	0.8692210028098976	0.9923790213545144
GTEX-12696-0526-SM-5EQ3Z.1	0.12062405652250642	0.1526486498362891	0	0.7120679067063316	0.0013455520967642835	0	0.01331383483810863	0	0.8373435890374731	0.9925700735807629
GTEX-13S86-0526-SM-5QGPZ.1	0.07712022158986637	0.10660542219138591	0	0.5119479513151921	0.0036518437091340506	0	0.30067456119442154	0	0.5391810734068662	0.9947565886833366
GTEX-UJHI-0326-SM-4IHJE.1	0.11260947440909556	0.10369026474996665	0	0.5999402920909549	0	0	0.1837599687499828	0	0.6259653934925922	0.994344288212381
GTEX-PWOO-0426-SM-48TZF.1	0.050427977827273256	0.09393380166960623	0	0.39512864229765454	0.0010810102865391846	0	0.4594285679189269	0	0.4867050287473348	0.9944651677796547
GTEX-SNMC-0226-SM-4DM6F.1	0.1254688083301064	0.12456264332989676	0	0.673252497740374	0	0	0.07671605059962287	0	0.7797667422647854	0.9931421124382032
GTEX-RWS6-0426-SM-47JXH.1	0.09870435794767858	0.15766703789181086	0	0.7003264344706973	0	0	0.0433021696898131	0	0.8392428226007044	0.9925778045717445
GTEX-S3XE-0226-SM-4AD6I.1	0.10668049154946803	0.151678882687614	0	0.6859478343946555	0.0014659410900770976	0	0.054226850278185336	0	0.8510111708072846	0.9925562148582243
GTEX-U8XE-1026-SM-4E3HM.1	0.09732661371307531	0.1480228756249303	0	0.6628013738355629	0	0	0.09184913682643152	0	0.7302408025615658	0.9935785255570532
GTEX-XQ8I-0326-SM-4BOPN.1	0.07849968654249491	0.0766287648577492	0	0.3668695055774643	0	0	0.4780020430222916	0.02	0.3367645814502198	0.9959912648015111
GTEX-RTLS-0726-SM-46MV4.1	0.12427196123450343	0.11890589629613497	0	0.5021977952654016	0	0	0.2546243472039599	0	0.4689483968587481	0.9956810089173308
GTEX-WFG7-0626-SM-4LMK6.1	0.07343292807251807	0.08164034234052844	0	0.4136385013101481	0	0	0.4312882282768054	0	0.4515592023011019	0.9949829403049532
GTEX-QDVN-0126-SM-4GIC9.1	0.0691439902883768	0.09094327587887613	0	0.3865521698149138	0.0015018851585360106	0	0.45185867885929715	0	0.5584295965664976	0.9937994654262325
GTEX-P4PP-3026-SM-3P61O.3	0.06431580509577546	0.08326541103004267	0	0.36556828266773433	0.006069884968926701	0	0.48078061623752083	0.04	0.20718013305492722	0.9973699983708515
GTEX-13OW8-2026-SM-9WYSA.1	0.10071174990886633	0.145002677286119	0	0.6492563452943106	0	0	0.10502922751070391	0	0.7180234121211198	0.9937109047132113
GTEX-15ER7-1426-SM-6PAMA.1	0.1310268435591209	0.1450623807448687	0	0.6777264462282303	0	0	0.04618432946777996	0	0.6923976385607304	0.9939339305348001
GTEX-1BAJH-1226-SM-7SB7A.1	0.03643844037689124	0.0689923210676615	0	0.35147871997087476	0.0007	0	0.5423715383272659	0	0.6326824903865669	0.9922036246558671
GTEX-1H3VY-1326-SM-9WPOA.1	0.1132533368761272	0.13983601193088682	0	0.619657169998489	0.0011849900346561984	0	0.12606849115984087	0	0.8278607303430148	0.9929146859099973
GTEX-1HSMQ-0626-SM-CL54A.1	0.1265222316171532	0.11078594132987153	0	0.7595296650731335	0	0	0.0031621619798418397	0	0.7337084058179989	0.9931101504912544
GTEX-1QCLZ-0826-SM-EWRNA.1	0.08555623026424818	0.1189844071321659	0	0.5314001307767842	0	0	0.26405923182680174	0	0.6487954660544587	0.9939735204730936
GTEX-NPJ8-1326-SM-3LK6B.1	0.10150661022428212	0.1072998097840269	0	0.510557999394618	0.003543677001416082	0	0.27709190359565694	0	0.48838209538238864	0.9953583877482236
GTEX-18A67-1426-SM-718BC.1	0.07064674835347991	0.09390813933275363	0	0.4038133722484149	0	0	0.4316317400653515	0	0.4272554606703329	0.9952547198548749
GTEX-OOBJ-3026-SM-3NB1D.1	0.10694617609727429	0.15114644479384085	0	0.663470712822888	0	0	0.07843666628599678	0	0.7421397441038874	0.9935280477803373
GTEX-1K9T9-1026-SM-D3L9D.1	0.07401306654060252	0.08509117911251679	0	0.39390398414874833	0.0035756228097838564	0	0.44341614738834845	0	0.5231949563920438	0.9942134826573931
GTEX-1EU9M-2026-SM-7RHGE.1	0.09152683835053708	0.11785237161102119	0.004586163411373211	0.5307186661979276	0	0	0.25531596042914095	0	0.45158419640917274	0.9957292068987558
GTEX-1IKOE-0826-SM-ARZME.1	0.10092707816943226	0.07860555089024095	0	0.35014723970945644	0	0	0.4703201312308704	0	0.47287838555381323	0.9946327151146342
GTEX-18A7B-0926-SM-7189F.1	0.10565943352607961	0.14459839003361324	0	0.6644757585307486	0	0	0.0852664179095585	0.01	0.35916630320431536	0.9966351281613756
GTEX-OIZH-3026-SM-3NB1G.1	0.11590777264954495	0.1360551366936207	0	0.6224253206718109	0.0022043514188164457	0	0.12340741856620702	0	0.8282716195718742	0.9929054354904825
GTEX-17F9E-1226-SM-7EWDG.1	0.09854735758642938	0.15416343232668675	0	0.6585299593456752	0	0	0.08875925074120859	0	0.7967565209905162	0.9930777852051835
GTEX-1B8KE-0426-SM-7189G.1	0.0672286983909792	0.1253210807162139	0.0001	0.5363820598582224	0.04336454587510128	0	0.22763983176997138	0	0.6678144447804886	0.9941095216226941
GTEX-12WSE-1126-SM-7DUEH.1	0.07222199436070553	0.060339455040564136	0	0.3371537975460551	0.001182837310368256	0	0.5291019157423069	0.03	0.2758438467713288	0.9964536204081456
GTEX-O5YW-3026-SM-3MJHI.1	0.08923201861177099	0.15313867926933203	0	0.6796130096266405	0.003184267802080643	0	0.0748320246901758	0	0.8682107124178701	0.9923929361956481
GTEX-15TU5-1226-SM-6PAMI.1	0.09770966750546087	0.1300007614780504	0	0.5506273246209987	0	0	0.22166224639549004	0	0.6130048105241226	0.9944847640529587
GTEX-1HCUA-0426-SM-CGQEI.1	0.12083884519964251	0.15547465090846344	0	0.6757176438418145	0.002000289470031222	0	0.045968570580048204	0	0.8778322949571729	0.9924452534076604
GTEX-1J8QM-0226-SM-CYPSI.1	0.05845533113763974	0.08919302201523331	0	0.3879666020083046	0.022979477316777807	0	0.4414055675220445	0	0.49762633618783886	0.9945210213270391
GTEX-14PJ6-1226-SM-6LLHJ.1	0.12689186364717314	0.1531289511646713	0	0.6760411039443632	0	0	0.04393808124379243	0	0.8012088496695565	0.9930680650866857
GTEX-15CHR-0526-SM-79OLJ.1	0.13050917246685442	0.10320003099879753	0	0.4355412800082137	0	0	0.3307495165261343	0.01	0.37140443502088943	0.9962982899151499
GTEX-16YQH-0826-SM-7938J.1	0.1261013542788214	0.15510098299400155	0	0.6697154286967208	0	0	0.0490822340304561	0	0.637552918329411	0.9944265724034114
GTEX-1GMR8-1226-SM-9YFLJ.1	0.09242398659013942	0.12541020900417962	0	0.5546238204747213	0	0	0.22754198393095973	0	0.407721431756027	0.9961516569370756
GTEX-1LGRB-0826-SM-COH3J.1	0.1099768701684186	0.15451311220777714	0	0.6787996243117753	0	0	0.056710393312028935	0	0.7366225514232594	0.9935425972003986
GTEX-14E7W-1026-SM-62LEK.1	0.0819829436337323	0.09042912458216686	0	0.4930202808500359	0	0	0.33456765093406493	0	0.4131021439063127	0.995750284185009
GTEX-1F6I4-0626-SM-9MQLL.1	0.10872943379197136	0.14837098826956902	0	0.6925564105017273	0	0	0.05034316743673239	0	0.8181424249485142	0.9927863566354869
GTEX-14BMV-0926-SM-7DHKM.1	0.14928706458159882	0.10927478840356046	0	0.4580077161060186	0	0	0.2834304309088221	0.03	0.3008915373622867	0.9970641625446083
GTEX-1GN1U-1326-SM-9KNTM.1	0.1206602470266599	0.11884180587459581	0	0.6772179307454643	0	0	0.08328001635327985	0	0.739772367102672	0.9934201450466909
GTEX-1HSKV-0926-SM-CGQEM.1	0.11429369513238175	0.13047360305389014	0	0.6895762913311221	0	0	0.06565641048260595	0	0.7299082696355599	0.9934866987474571
GTEX-1I1GQ-1326-SM-CM2TM.1	0.1386875234347612	0.11987579678053001	0	0.7199551244537407	0	0	0.021481555330968117	0	0.730707637910873	0.9933785226532584
GTEX-1M5QR-1126-SM-EYYWM.1	0.1071969202964728	0.15909597352202504	0	0.7103315101345254	0.002696399893778877	0	0.02067919615319789	0	0.807043151427128	0.9928303812535657
GTEX-139YR-0726-SM-62LFN.1	0.04246981366788583	0.08258583080002194	0	0.36632423813357073	0.001467614989034575	0	0.507152502409487	0.03	0.30300007883332286	0.9962142574272158
